Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_length,Min_pkts_length,Max_pkts_length,StDev_pkts_length,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,Label
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.758864,0.0758864,2.3e-05,0.300773,0.13008806633467362,478.0,54.0,1404.0,523.8065800783085,0.5,424.0,0.0,1350.0,523.8065800783085,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,4.337186,0.4337186,0.000203,3.897923,1.285945205001472,328.5,60.0,597.0,283.02385058506997,0.5,274.5,6.0,543.0,283.02385058506997,0.0,1.0
0.0,0.0,0.0,0.4,0.6,0.0,0.0,1.0,0.0,0.0,0.525514,0.0525514,0.000164,0.328092,0.10901415479779576,381.6,54.0,597.0,278.0855983325997,0.4,327.6,0.0,543.0,278.0855983325997,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.452000,0.0452,1e-05,0.423441,0.14010281564959515,606.6,54.0,1474.0,635.7031452564073,0.5,552.6,0.0,1420.0,635.7031452564073,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.045882,0.0045882,1.1e-05,0.023427,0.008177098721429257,729.0,54.0,1404.0,711.5124735378854,0.5,675.0,0.0,1350.0,711.5124735378854,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.088670,0.008867,9e-06,0.055374,0.019902690099442448,729.0,54.0,1474.0,712.2772556307613,0.5,675.0,0.0,1420.0,712.2772556307613,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.018748,0.0018748,1e-05,0.010822,0.003831544742151801,654.0,54.0,1404.0,670.820393249937,0.5,600.0,0.0,1350.0,670.820393249937,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.018363,0.0018363,1.1e-05,0.006955,0.002840124997249241,783.9,54.0,1474.0,674.0956822950944,0.4,729.9,0.0,1420.0,674.0956822950944,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.074994,0.0074994,9e-06,0.042797,0.014747062478676897,999.0,54.0,1474.0,653.7796094845554,0.3,945.0,0.0,1420.0,653.7796094845554,0.0,1.0
0.0,0.0,0.0,0.4,0.6,0.0,0.0,1.0,0.0,0.0,0.039256,0.0039256,1.1e-05,0.036064,0.011897090913094866,999.0,54.0,1474.0,652.9463139408085,0.3,945.0,0.0,1420.0,652.9463139408085,0.0,1.0
0.0,0.0,0.0,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.018471,0.0018471,5e-06,0.009801,0.003503835933658995,658.7,54.0,1474.0,684.7309366134668,0.4,604.7,0.0,1420.0,684.7309366134668,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.050552,0.0050552,1.2e-05,0.026783,0.009952617827039835,955.3,54.0,1474.0,633.0322178917032,0.3,901.3,0.0,1420.0,633.0322178917032,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.044287,0.0044287,6e-06,0.021514,0.008073975039870042,992.0,54.0,1474.0,650.9958183856141,0.3,938.0,0.0,1420.0,650.9958183856141,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.067297,0.0067297,1.8e-05,0.024702,0.009544406007069156,759.3,54.0,1474.0,653.1139172371761,0.4,705.3,0.0,1420.0,653.1139172371761,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.046703,0.0046703,7e-06,0.032882,0.01131494283876169,999.0,54.0,1474.0,653.7796094845554,0.3,945.0,0.0,1420.0,653.7796094845554,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.064307,0.0064307,6e-06,0.037512,0.014385996027194101,864.0,54.0,1474.0,698.6972003506081,0.4,810.0,0.0,1420.0,698.6972003506081,0.0,1.0
