Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_length,Min_pkts_length,Max_pkts_length,StDev_pkts_length,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,Label
0.0,0.0,0.0,0.4,0.6,0.0,0.0,1.0,0.0,0.0,1.125544,0.1125544,3.9e-05,0.517453,0.19671301611936556,433.0,54.0,1111.0,358.26619526082374,0.4,379.0,0.0,1057.0,358.26619526082374,0.0,1.0
0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.037029,0.0037029,2.1e-05,0.024785,0.008674326443592032,1007.0,54.0,1474.0,662.9665652705773,0.3,953.0,0.0,1420.0,662.9665652705773,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.093428,0.0093428,1.5e-05,0.048208,0.020220928987341583,1061.9,54.0,1474.0,592.6048805438953,0.2,1007.9,0.0,1420.0,592.6048805438953,0.0,1.0
0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.013145,0.0013145,1.5e-05,0.012327,0.004075887176772411,957.8,54.0,1474.0,649.3363791851904,0.3,903.8,0.0,1420.0,649.3363791851904,0.0,1.0
0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.077732,0.0077732,3e-06,0.044529,0.017291692112431076,976.9,54.0,1474.0,658.4021820538973,0.2,922.9,0.0,1420.0,658.4021820538973,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.035955,0.0035955,5e-06,0.035803,0.011928013487165413,1116.2,54.0,1474.0,567.0386622131197,0.2,1062.2,0.0,1420.0,567.0386622131197,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.016393,0.0016393,7e-06,0.00921,0.0031281069399523055,919.9,54.0,1474.0,649.065387906163,0.3,865.9,0.0,1420.0,649.065387906163,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.032796,0.0032796,2.1e-05,0.021609,0.007581668335531435,902.9,54.0,1474.0,637.49831372326,0.3,848.9,0.0,1420.0,637.49831372326,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.023474,0.0023474,1.1e-05,0.007526,0.0032153026987275157,822.2,54.0,1474.0,670.740519459235,0.4,768.2,0.0,1420.0,670.740519459235,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.049782,0.0049782,1e-05,0.023388,0.009688086472570318,990.6,54.0,1474.0,650.922797948335,0.3,936.6,0.0,1420.0,650.922797948335,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.029611,0.0029611,5e-06,0.014695,0.005521555022012468,911.7,54.0,1474.0,644.0883393517452,0.3,857.7,0.0,1420.0,644.0883393517452,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.018520,0.001852,7e-06,0.007497,0.003156212000871368,970.8,54.0,1474.0,639.1127182795432,0.3,916.8,0.0,1420.0,639.1127182795432,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.013620,0.001362,2.3e-05,0.007694,0.002886951116662698,486.3,54.0,1474.0,538.4915247450253,0.5,432.3,0.0,1420.0,538.4915247450253,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.032759,0.0032759,1e-05,0.022217,0.007518248939155388,832.2,54.0,1474.0,624.6685876882592,0.3,778.2,0.0,1420.0,624.6685876882592,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.039704,0.0039704,1.5e-05,0.012852,0.0053019354982664375,857.4,54.0,1474.0,692.3294334667886,0.4,803.4,0.0,1420.0,692.3294334667886,0.0,1.0
0.0,0.0,0.0,0.4,0.6,0.0,0.0,1.0,0.0,0.0,0.066367,0.0066367,8.5e-05,0.029511,0.01183385784987766,812.4,54.0,1474.0,634.811643105435,0.3,758.4,0.0,1420.0,634.811643105435,0.0,1.0
0.0,0.0,0.0,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.003037,0.0003037,2.3e-05,0.000933,0.00039468566958755644,1007.0,54.0,1474.0,660.7088785707532,0.3,953.0,0.0,1420.0,660.7088785707532,0.0,1.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.058721,0.0058721,6.3e-05,0.028981,0.01102281703004172,761.5,54.0,1474.0,653.3692592163247,0.4,707.5,0.0,1420.0,653.3692592163247,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.033142,0.0033142,2.1e-05,0.015801,0.005768923732185907,990.6,54.0,1474.0,650.922797948335,0.3,936.6,0.0,1420.0,650.922797948335,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.030040,0.003004,2.7e-05,0.017281,0.006236853208505427,888.4,54.0,1474.0,661.0495358813051,0.3,834.4,0.0,1420.0,661.0495358813051,0.0,1.0
0.0,0.0,0.0,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.031075,0.0031075,2.6e-05,0.028932,0.00955730755466436,777.9,54.0,1474.0,671.6137199975063,0.4,723.9,0.0,1420.0,671.6137199975063,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.058027,0.0058027,4.6e-05,0.055123,0.018258676931195695,911.7,54.0,1474.0,644.0883393517452,0.3,857.7,0.0,1420.0,644.0883393517452,0.0,1.0
